"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C16,C7,C13,C5,C4,C28,C12,C26,C18";"GRT21BR61E226ME13L";9;"4.7µF";;;
2;"D9";"SOD3716X135N";1;"5.1V";;;
3;"C11,C1,C9,C15,C32,C8,C29,C17,C6,C37,C14,C33,C3,C25,C19,C22,C27";"CAPC2012X90N";17;"0.1µF";;;
4;"C42,C41,C38,C43";"C0805";4;"100pF";;;
5;"C21,C31,C20,C30";"CAPC2012X95N";4;"0.01µF";;;
6;"R22";"RESC2012X60N";1;"2.2k";;;
7;"J103,J102";"HDRRA2W64P0X254_1X2_508X250X360P";2;"90121-0762";;;
8;"R17,R16,R27,R19";"RESC2012X60N";4;"1.0k";;;
9;"T1,T2";"TRANSFORMER_750343725_WRE-L";2;"750343725";;;
10;"C2,C10";"CAPC2012X135N";2;"10µF";;;
11;"U1,U4";"SOT95P280X145-5N";2;"SN6501QDBVRQ1";;;
12;"D7,D8,D5";"SODFL1608X70N";3;"1N4148X-TP";;;
13;"J101";"MOLEX_90122-0763";1;"90122-0763";;;
14;"R6,R3";"RESC2013X65N";2;"4.99k";;;
15;"R29";"RESC2012X50N";1;"15k";;;
16;"R2,R5";"RESC2012X60N";2;"3.01k";;;
17;"D2,D1";"SOT_70-E3-08_VIS";2;"BAV70-E3-08";;;
18;"R4,R1";"RESC2012X50N";2;"4.7k";;;
19;"Q2,Q4,Q3";"SOT50P160X90-3N";3;"MMBT3904T-7-F";;;
20;"C36";"C0805";1;"470pF";;;
21;"R9";"RESC2012X60N";1;"1k";;;
22;"U5,U3,U9";"DBZ3";3;"TL431AQDBZRQ1";;;
23;"D6";"DIOM5127X229N";1;"BYG23T-M3/TR";;;
24;"R33,R132,R34,R31";"RESC2012X60N";4;"0";;;
25;"C40,C39";"C0805";2;"1000pF";;;
26;"R13";"RESC3216X60N";1;"27";;;
27;"U2";"VREG_TPS7B6950QDCYRQ1";1;"TPS7B6950QDCYRQ1";;;
28;"R24";"RESC2012X60N";1;"2.00k";;;
29;"R30,R20,R26,R23,R15,R32,R25";"RESC2012X60N";7;"5.1k";;;
30;"R11,R8";"RESC3116X65N";2;"1.0";;;
31;"U7";"SOIC127P600X175-8N";1;"ISO7721QDRQ1";;;
32;"R14,R28,R12,R18";"RESC2012X60N";4;"10.0k";;;
33;"R7,R10";"RESC3216X60N";2;"5.11";;;
34;"C23,C24";"CAPC2012X95N";2;"0.1µF";;;
35;"C34";"CAPC2012X70N";1;"27pF";;;
36;"D3,D4";"DIOM5226X220N";2;"MBRA340T3G";;;
37;"R21";"RESC2012X60N";1;"1.00k";;;
38;"U8";"SOIC127P600X175-8N";1;"LMV762QMA_NOPB";;;
39;"C35";"CAPC2012X75N";1;"100µF";;;
40;"U6";"UCC21530QDWKRQ1";1;"UCC21530QDWKRQ1";;;
41;"Q1";"TRANS_CSD17313Q2";1;"CSD17313Q2";;;
